title,website,category,size,city,neighborhood,latitude,longitude,twit,inst,linkATitle,linkAURL,linkBTitle,linkBURL,pullquote,episodePromo,episodePerson,episodeURL,color,published,,naming,typography,ecommerce,engineering,3D,development,branding,photography,printer,print,sound,environmental,strategy,motion,advertising,vfx,research,experiential,recruiter,video,packaging,voice,marketing,school,press,gaming,community,inhouse,interactive,interior,exhibition,eCommerce,public relations,events,architecture,industrial,presentation,experience,product,illustration,ux/ui
24 Seven,https://www.24seventalent.com/,numbers,Large (41-100),Seattle,Downtown,-122.33747784633883,47.610864339941855,24seventalent,24seventalent,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Crown Creative,https://3crowncreative.com/,numbers,Small (1-10),Seattle,Fremont,-122.34166844627667,47.649787758850536,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th Ave Media,https://www.4thavenuemedia.com/,numbers,Small (1-10),Seattle,Mercer Island,-122.21284547326132,47.57782610542406,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51 Eggs,http://www.51eggs.com,numbers,Small (1-10),Seattle,Georgetown,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMP,https://www.ampagency.com,A,Large (41-100),Seattle,Pike Place Market,-122.34141889720154,47.60878266984543,amp_agency,amp_agency,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANEMONE,https://anemone.studio,A,Small (1-10),Seattle,Roosevelt,,,anemone_es,spectrolite.app,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrylicize,http://www.acrylicize.com,A,Medium (11-40),Seattle,Capitol Hill,-122.33592376752058,47.61019104143859,acrylicize,acrylicize,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add3,https://www.add3.com/,A,Medium (11-40),Seattle,Capitol Hill,-122.32538424658692,47.61451392031075,add3com,add3com,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe,https://www.adobe.com,A,Large (41-100),Seattle,Fremont,-122.34788263281095,47.648672068906215,adobe,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allovus,https://www.allovus.com/,A,Small (1-10),Gig Harbor,,-122.33386870028093,47.59888748611175,allovusdesign,allovusdesign,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
